indberetningsdato,indberetter_navn,produkt_id,produkt_mrke_produkt_navn,produkt_type,Reference_ID_sam,,,,
15-08-2017,Efuma Aps,00219-17-10777,218W Smoant Charon Adjustable VV Box MOD,Other,,,,,
23-11-2018,Efuma Aps,00219-18-19755,Smoant - Smoant Naboo 225W TC Box MOD,Other,,,,,
15-08-2017,Efuma Aps,00219-17-10791,200W Smoant Battlestar TC Box MOD,Other,,,,,
15-08-2017,Efuma Aps,00219-17-10781,218W Smoant Charon TC 218 Box MOD,Other,,,,,
22-08-2017,Efuma Aps,00219-17-11802,Smoant - 218W Smoant Charon TS Touch Screen TC Box MOD,Other,,,,,
08-09-2017,Efuma Aps,00219-17-12138,200W Smoant GAIA TC Box,Other,,,,,
23-04-2017,Efuma Aps,00219-17-08308,OCULAR Touchscreen TC Box MOD 80W,Other,,,,,
11-09-2017,Efuma Aps,00219-17-12223,3000mAh CUBOID Lite TC 80W MOD,Other,,,,,
10-05-2017,Efuma Aps,00219-17-10255,228W CUBOID TAP TC MOD,Other,,,,,
15-05-2017,Efuma Aps,00219-17-05182,eVic VTwo Mini Express Kit W/O Battery,Other,,,,,
15-08-2017,Efuma Aps,00219-17-10939,Tesla Nano 120W TC Box MOD,Other,,,,,
03-05-2017,Efuma Aps,00219-17-08153,Asvape Strider VO75 TC Box MOD,Other,,,,,
15-05-2017,Efuma Aps,00219-17-05173,80W eVic VTwo TC Express Kit - 5000mAh,Other,,,,,
17-05-2017,Efuma Aps,00219-17-01707,eVic-VT VW Express Kit - 5000mAh,Other,,,,,
09-01-2018,Efuma Aps,00219-18-14013,Joyetech - ESPION 200W TC Box MOD,Other,,,,,
03-11-2017,Efuma Aps,00219-17-12402,REV Nitro 200W TC Box MOD,Other,,,,,
05-05-2017,Efuma Aps,00219-17-08861,Arctic Dolphin Arthur 80W TC Stabilized Wood MOD,Other,,,,,
15-08-2017,Efuma Aps,00219-17-10774,75W AIMIDI Curve V4mini TC MOD,Other,,,,,
25-08-2017,Efuma Aps,00219-17-11945,900mAh JUSTFOG P14A Compact Battery MOD,Other,,,,,
14-08-2017,Efuma Aps,00219-17-11206,200W CUBOID PRO Touch Screen TC MOD,Other,,,,,
08-06-2017,Efuma Aps,00219-17-10652,3000mAh CuBox Box MOD,Other,,,,,
12-08-2017,Efuma Aps,00219-17-11013,80W eVic Primo SE TC MOD,Other,,,,,
15-05-2017,Efuma Aps,00219-17-07484,1500mAh Artery Nugget V2 TC Box MOD 50W,Other,,,,,
15-08-2017,Efuma Aps,00219-17-10885,Hellvape Trishul MECH MOD Kit,Other,,,,,
17-05-2017,Efuma Aps,00219-17-03773,150W Cuboid TC Express Kit W/O Battery,Other,,,,,
09-01-2018,Efuma Aps,00219-18-00904,Joyetech - eRoll-C PCC - 1000mAh,Other,,,,,
14-01-2018,Efuma Aps,00219-18-14022,Joyetech - 3000mAh Exceed BOX Battery,Other,,,,,
17-03-2018,Efuma Aps,00219-18-14989,Joyetech  - ESPION Solo 21700 80W TC Box MOD,Other,,,,,
09-02-2018,Efuma Aps,00219-18-14605,Joyetech   - eGo ONE Mega V2 Battery - 2300mAh,Other,,,,,
09-01-2018,Efuma Aps,00219-18-08351,CARRYS - CARRYS Pioneer G150 TC Box MOD,Other,,,,,
09-03-2018,Efuma Aps,00219-18-14852,Vaptio - Vaptio Wall Crawler 80W TC Box MOD,Other,,,,,
12-04-2018,Efuma Aps,00219-18-15324,Suorin - 300mah Suorin Drop Mod,Other,,,,,
09-01-2018,Efuma Aps,00219-18-09589,Think Vape - Think Vape Finder 167W TC Box MOD with DNA250 Chip W/O Battery,Other,,,,,
14-02-2018,Efuma Aps,00219-18-14598,Tesla - Tesla WYE 85W TC Box MOD,Other,,,,,
18-04-2018,Efuma Aps,00219-18-15441,Joyetech  - ESPION Infinite 21700 230W TC Box MOD,Other,,,,,
14-02-2018,Efuma Aps,00219-18-14613,Tesla - Tesla WYE 200W TC Box MOD,Other,,,,,
09-03-2018,Efuma Aps,00219-18-14872,Vaptio - Vaptio Super Bat 220W TC Box MOD,Other,,,,,
09-01-2018,Efuma Aps,00219-18-03667,SMY - 100W SMY Touch Box Mod,Other,,,,,
09-01-2018,Efuma Aps,00219-18-09843,Voopoo - VOOPOO DRAG 157W TC Box MOD,Other,,,,,
05-02-2018,Efuma Aps,00219-18-14509,Hugo Vapor - Hugo Vapor URUS 100W 20700 TC MOD,Other,,,,,
17-07-2019,Efuma Aps,00219-19-22689,Tesla - Tesla P226 220W TC Box Mod,Other,,,,,
17-03-2018,Efuma Aps,00219-18-14994,Joyetech  - 4000mah ESPION Solo 21700 80W TC Box MOD,Other,,,,,
25-02-2019,Efuma Aps,00219-19-20854,Augvape - AUGVAPE VX200 200W TC Box MOD,Other,,,,,
24-07-2018,Efuma Aps,00219-18-16890,SXmini - SXmini SL Class - Stabwood Version,Other,,,,,
03-10-2018,Efuma Aps,00219-18-17844,UWELL - UWELL Hypercar Mod,Other,,,,,
27-11-2018,Efuma Aps,00219-18-19809,Voopoo - 4400mAh Drag Mini 117W TC Box MOD,Other,,,,,
18-04-2018,Efuma Aps,00219-18-15448,Joyetech - 8000mAh ESPION Infinite 21700 230W TC Box MOD,Other,,,,,
16-10-2018,Efuma Aps,00219-18-18393,VSTICKING - VSTICKING VK530 Mod,Other,,,,,
01-08-2018,Efuma Aps,00219-18-16994,Ehpro - 101 Pro 75W TC MOD,Other,,,,,
29-03-2018,Efuma Aps,00219-18-15128,Joyetech  - 650mAh Exceed Edge Battery,Other,,,,,
10-11-2018,Efuma Aps,00219-18-19340,Tesla - WYE II 215W TC Box MOD,Other,,,,,
08-07-2018,Efuma Aps,00219-18-16721,Vaptio - Vaptio Capt'n 220W TC Box MOD,Other,,,,,
28-11-2019,Efuma Aps,00219-19-23772,UWELL - Nunchaku 2 Mod,Other,,,,,
03-11-2017,Efuma Aps,00219-17-13185,2100mAh Atopack Dolphin Battery,Other,,,,,
23-10-2018,Efuma Aps,00219-18-18475,SXmini - SXmini SL Class - New Collection,Other,,,,,
20-09-2019,Efuma Aps,00219-19-23232,VSTICKING - 1400mAh VSTICKING VKsma,Other,,,,,
27-11-2018,Efuma Aps,00219-18-19818,Voopoo - Drag 2 177W TC Box MOD,Other,,,,,
15-06-2018,Efuma Aps,00219-18-16468,Justfog - 650mAh C601 Battery,Other,,,,,
10-05-2018,Efuma Aps,00219-18-15914,Joyetech - 2800mAh eVic Primo Fit 80W TC Box MOD,Other,,,,,
21-06-2018,Efuma Aps,00219-18-16606,VZONE - Vzone Graffiti 220W TC Box MOD,Other,,,,,
07-11-2017,Efuma Aps,00219-17-13162,2500mAh Revenger Mini 85W TC MOD,Other,,,,,
03-05-2017,Efuma Aps,00219-17-07495,VGOD PRO150 BOX TC MOD,Other,,,,,
09-01-2018,Efuma Aps,00219-18-13769,Vaporesso - Transformer 220W TC Box MOD,Other,,,,,
06-10-2017,Efuma Aps,00219-17-12623,Revenger X 220W TC Box MOD,Other,,,,,
02-05-2017,Efuma Aps,00219-17-08124,100W Vaporesso Nebula TC Box MOD,Other,,,,,
02-05-2017,Efuma Aps,00219-17-07797,80W Vaporesso Attitude MOD,Other,,,,,
02-05-2017,Efuma Aps,00219-17-06743,160W Vaporesso TAROT PRO VTC MOD W/O Battery - SS  and Yellow,Other,,,,,
24-05-2017,Efuma Aps,00219-17-10349,220W Vaporesso Revenger TC Box MOD,Other,,,,,
02-05-2017,Efuma Aps,00219-17-08825,75W Vaporesso TARGET Pro VTC MOD,Other,,,,,
22-05-2018,Efuma Aps,00219-18-16111,Vaporesso  - Armour Pro 100W TC Box MOD,Other,,,,,
20-09-2019,Efuma Aps,00219-19-23243,Vision - 1600mAh Spinner 3 Battery,Other,,,,,
04-09-2017,Efuma Aps,00219-17-11988,80W Vaporesso Swag TC Box MOD,Other,,,,,
02-05-2017,Efuma Aps,00219-17-05356,Vaporesso TARGET Mini TC MOD,Other,,,,,
21-04-2017,Efuma Aps,00219-17-00981,Spinner Battery (3.3V-4.8V) - 1100mah ,Other,,,,,
03-05-2017,Efuma Aps,00219-17-00033,Spinner II Battery,Other,,,,,
01-08-2018,Efuma Aps,00219-18-17017,Vaporesso - 2500mAh Tarot Baby 85W TC MOD,Other,,,,,
25-06-2019,Efuma Aps,00219-19-22347,Vaporesso - 2500mAh Tarot Nano 80W TC Box MOD,Other,,,,,
26-08-2018,Efuma Aps,00219-18-17221,Vaporesso - Luxe 220W Touch Screen TC MOD,Other,,,,,
29-05-2019,Efuma Aps,00219-19-22035,Vaporesso - GEN 220W TC Box MOD,Other,,,,,
17-12-2019,Efuma Aps,00219-19-23568,Vaporesso - Swag II 80W TC Box Mod,Other,,,,,
12-10-2018,Efuma Aps,00219-18-17493,Vaporesso - 1400mAh Drizzle Fit Battery,Other,,,,,
29-05-2019,Efuma Aps,00219-19-22020,Vaporesso - 2000mAh Target Mini 2 50W Box MOD,Other,,,,,
03-05-2017,Efuma Aps,00219-17-01154,Deus Mod,Other,,,,,
03-05-2017,Efuma Aps,00219-17-00050,Spinner Battery (3.3V-4.8V) - 650mah,Other,,,,,
03-05-2017,Efuma Aps,00219-17-00068,Spinner Battery (3.3V-4.8V) - 1300mah,Other,,,,,
03-05-2017,Efuma Aps,00219-17-04958,Vapros Spinner Plus Battery - 1500mAh,Other,,,,,
08-01-2018,Efuma Aps,00219-18-01292,Vision - eGo Manual Battery - 1300 mah,Other,,,,,
28-04-2017,Efuma Aps,00219-17-06185,Reuleaux RX2/3 MOD Kit,Other,,,,,
15-08-2017,Efuma Aps,00219-17-10847,80W SINUOUS P80 TC MOD,Other,,,,,
06-10-2017,Efuma Aps,00219-17-12573,Reuleaux RX Machina 20700 Mech MOD,Other,,,,,
08-11-2017,Efuma Aps,00219-17-13260,2300mAh CB-60 VW Box MOD,Other,,,,,
07-05-2018,Efuma Aps,00219-18-15869,Wismec - CB-80 TC Box MOD,Other,,,,,
24-05-2017,Efuma Aps,00219-17-10434,300W ES300 Exo Skeleton TC Box MOD,Other,,,,,
08-09-2017,Efuma Aps,00219-17-12191,4600mAh SINUOUS FJ200 TC Box MOD,Other,,,,,
17-05-2017,Efuma Aps,00219-17-08393,Reuleaux RX300 TC Express Kit - Carbon Fiber,Other,,,,,
16-08-2017,Efuma Aps,00219-17-11719,3000mAh SINUOUS SW MOD - Brown,Other,,,,,
06-10-2017,Efuma Aps,00219-17-12578,3000mAh Reuleaux RX Machina 20700 Mech MOD,Other,,,,,
06-04-2018,Efuma Aps,00219-18-15320,Wismec - Luxotic NC 250W 20700 Box MOD,Other,,,,,
29-05-2018,Efuma Aps,00219-18-16252,Wismec - 2100mAh HiFlask Battery,Other,,,,,
17-05-2017,Efuma Aps,00219-17-05809,Reuleaux RX200S TC Express Kit W/O Battery,Other,,,,,
28-04-2017,Efuma Aps,00219-17-09299,Predator 228 TC MOD,Other,,,,,
14-01-2018,Efuma Aps,00219-18-14062,Wismec - Reuleaux RX2 21700 230W TC MOD,Other,,,,,
08-01-2018,Efuma Aps,00219-18-01273,Vision - eGo Manual Battery - 650 mah,Other,,,,,
29-03-2018,Efuma Aps,00219-18-15020,Wismec  - Reuleaux RX GEN3 Dual 230W TC Box MOD,Other,,,,,
08-01-2018,Efuma Aps,00219-18-01301,Vision - eGo Manual Battery - 2200 mah,Other,,,,,
08-01-2018,Efuma Aps,00219-18-01283,Vision - eGo Manual Battery - 1100 mah,Other,,,,,
02-05-2019,Efuma Aps,00219-19-21480,Vision - 1600mAh New Spinner II Battery,Other,,,,,
12-06-2018,Efuma Aps,00219-18-16417,Eleaf - 3000mAh iJust 3 Battery New Acrylic Version,Other,,,,,
28-11-2017,Efuma Aps,00219-17-06288,iCare Mini PCC - 2300mAh,Other,,,,,
17-05-2017,Efuma Aps,00219-17-01982,60W iStick TC Express Kit,Other,,,,,
17-05-2017,Efuma Aps,00219-17-04846,200W iStick TC Express Kit W/O Battery,Other,,,,,
14-01-2018,Efuma Aps,00219-18-14034,Eleaf - iStick Pico 21700 100W TC Box MOD,Other,,,,,
08-09-2017,Efuma Aps,00219-17-12152,300W iStick Tria TC Box MOD,Other,,,,,
29-09-2017,Efuma Aps,00219-17-12510,1800mAh iStick Trim Battery,Other,,,,,
21-04-2017,Efuma Aps,00219-17-09691,iKonn Total MOD,Other,,,,,
21-04-2017,Efuma Aps,00219-17-09785,75W iStick Pico RESIN TC Mod - Psychedelic Patterns,Other,,,,,
08-06-2017,Efuma Aps,00219-17-10557,220W iKonn 220 Box MOD,Other,,,,,
20-04-2017,Efuma Aps,00219-17-05641,50W iStick OLED Screen MOD Battery - 4400mAh,Other,,,,,
21-04-2017,Efuma Aps,00219-17-09285,3000mAh iJust S Battery New Colors,Other,,,,,
15-03-2018,Efuma Aps,00219-18-14962,Eleaf  - 1050mAh iStick Pico Baby Battery,Other,,,,,
18-04-2018,Efuma Aps,00219-18-15503,Eleaf - 4000mAh iStick Pico S 21700 100W TC Box MOD,Other,,,,,
21-04-2017,Efuma Aps,00219-17-06314,40W iStick Power Nano Battery Kit - 1100mAh,Other,,,,,
01-11-2017,Efuma Aps,00219-17-13057,Invoke 220W TC Box MOD,Other,,,,,
03-05-2017,Efuma Aps,00219-17-08100,2000mAh WOTOFO Serpent 50W TC Box MOD,Other,,,,,
05-12-2017,Efuma Aps,00219-17-13634,1500mAh BASAL VV Box MOD,Other,,,,,
01-11-2017,Efuma Aps,00219-17-00921,30W iStick Full Kit with OLED Screen MOD Battery,Other,,,,,
21-04-2017,Efuma Aps,00219-17-08411,200W Pico Dual TC Mod,Other,,,,,
14-08-2017,Efuma Aps,00219-17-11270,3000mAh iKuun i80 TC Box MOD,Other,,,,,
21-04-2017,Efuma Aps,00219-17-08319,75W Eleaf iStick Pico TC MOD,Other,,,,,
21-04-2017,Efuma Aps,00219-17-09210,iStick QC 200W MOD Battery,Other,,,,,
14-01-2018,Efuma Aps,00219-18-14041,Eleaf - 4000mah iStick Pico 21700 100W TC Box MOD,Other,,,,,
10-04-2018,Efuma Aps,00219-18-15349,Eleaf - 3000mAh iJust 3 Battery,Other,,,,,
14-08-2017,Efuma Aps,00219-17-11292,4600mAh iKuun i200 TC Box MOD,Other,,,,,
18-05-2018,Efuma Aps,00219-18-16076,Eleaf - Lexicon 235W TC Box MOD,Other,,,,,
30-04-2017,Efuma Aps,00219-17-09652,1600mAh QBOX TC Box MOD,Other,,,,,
10-05-2017,Efuma Aps,00219-17-10289,85W iStick Pico 25 TC MOD,Other,,,,,
17-05-2017,Efuma Aps,00219-17-00926,10W Mini iStick Express Kit with LED Screen MOD Battery - 1050mAh,Other,,,,,
28-04-2017,Efuma Aps,00219-17-08379,GX350 TC Box MOD,Other,,,,,
22-01-2018,Efuma Aps,00219-18-14258,Eleaf - 4400mAh iStick Melo Battery MOD,Other,,,,,
21-04-2017,Efuma Aps,00219-17-06205,ASTER TC MOD - 75W,Other,,,,,
21-04-2017,Efuma Aps,00219-17-05913,iStick Pico Mega TC MOD - 80W,Other,,,,,
18-04-2018,Efuma Aps,00219-18-15469,Smoktech - I-Priv 230W Voice Control TC Box MOD,Other,,,,,
17-05-2017,Efuma Aps,00219-17-01688,40W iStick TC Express Kit - 2600mAh,Other,,,,,
16-01-2018,Efuma Aps,00219-18-14094,SMOK - Majesty 225W TC Box MOD Luxe Edition,Other,,,,,
01-11-2017,Efuma Aps,00219-17-00835,20W iStick Full Kit with OLED Screen MOD Battery,Other,,,,,
28-04-2017,Efuma Aps,00219-17-08701,Alien Baby AL85 TC Box MOD,Other,,,,,
28-04-2017,Efuma Aps,00219-17-08701,SMOK - RHA85 MOD,Other,,,,,
18-04-2018,Efuma Aps,00219-18-15496,Eleaf - iStick Pico S 21700 100W TC Box MOD,Other,,,,,
02-11-2017,Efuma Aps,00219-17-13144,Veneno 225W TC Box MOD,Other,,,,,
21-04-2017,Efuma Aps,00219-17-08300,4400mAh Aster RT TC MOD 100W,Other,,,,,
13-12-2017,Efuma Aps,00219-17-13748,SMOK - G-PRIV 2 230W Touch Screen TC MOD Luxe Edition,Other,,,,,
21-04-2017,Efuma Aps,00219-17-09396,75W iStick Pico TC MOD New Colors,Other,,,,,
28-04-2017,Efuma Aps,00219-17-09065,220W Alien TC MOD New Colors,Other,,,,,
16-11-2017,Efuma Aps,00219-17-13482,1600mAh iStick Kiya 50W TC Box MOD,Other,,,,,
05-05-2017,Efuma Aps,00219-17-00807,Anodized SID - 18650,Other,,,,,
21-04-2017,Efuma Aps,00219-17-08220,75W iStick Pico TC MOD,Other,,,,,
01-03-2018,Efuma Aps,00219-18-14785,Smoktech - 1600mAh Mag Baby 50W TC Box MOD,Other,,,,,
13-03-2018,Efuma Aps,00219-18-14889,Smoktech  - 8000mAh V-FIN 160W TC Box MOD,Other,,,,,
28-03-2018,Efuma Aps,00219-18-15169,Smoktech - 250mAh Infinix Mod,Other,,,,,
28-04-2017,Efuma Aps,00219-17-04963,220W H-PRIV TC MOD W/O Battery,Other,,,,,
06-10-2017,Efuma Aps,00219-17-12669,Majesty Resin Edition 225W TC Box MOD,Other,,,,,
28-03-2018,Efuma Aps,00219-18-15173,Smoktech  - 250mAh Rolo Badge Mod,Other,,,,,
28-04-2017,Efuma Aps,00219-17-06365,220W Alien TC MOD,Other,,,,,
28-04-2017,Efuma Aps,00219-17-06365,SMOK - RHA 220W Mod,Other,,,,,
20-04-2018,Efuma Aps,00219-18-15581,Smoktech - 3000mah Stick V8 battery,Other,,,,,
27-04-2018,Efuma Aps,00219-18-15717,Smoktech - 2300mAh X-Priv Baby 80W TC Box MOD,Other,,,,,
02-04-2019,Efuma Aps,00219-18-08701,SMOK - RHA85 MOD,Other,,,,,
16-01-2018,Efuma Aps,00219-18-14124,SMOK - X-Priv 225W TC Box MOD,Other,,,,,
14-02-2018,Efuma Aps,00219-18-14627,SMOK - H-Priv 2 225W TC Box MOD,Other,,,,,
19-12-2017,Efuma Aps,00219-17-13854,Smok - T-Priv 3 300W TC Box MOD,Other,,,,,
28-04-2017,Efuma Aps,00219-17-07887,G320 Marshal TC MOD,Other,,,,,
18-04-2019,Efuma Aps,00219-19-21387,Eleaf - 800mAh iTap Battery,Other,,,,,
19-10-2018,Efuma Aps,00219-18-18433,Eleaf - 4400mAh iStick Nowos 80W TC MOD,Other,,,,,
17-12-2019,Efuma Aps,00219-19-23792,Eleaf - iStick Rim C 80W TC Mod,Other,,,,,
07-05-2019,Efuma Aps,00219-19-21525,Eleaf - 3000mAh iStick Rim Battery,Other,,,,,
29-10-2019,Efuma Aps,00219-19-23476,Eleaf - 1100mAh iStick Amnis 2,Other,,,,,
05-07-2019,Efuma Aps,00219-19-22563,Eleaf - 1100mAh iJust Mini Pen Battery,Other,,,,,
30-04-2017,Efuma Aps,00219-17-09160,4200mAh G150 TC Box MOD,Other,,,,,
08-03-2019,Efuma Aps,00219-19-21069,Eleaf - iJust 21700 Battery,Other,,,,,
04-09-2017,Efuma Aps,00219-17-12031,230W G-PRIV 2 Touch Screen TC Box MOD -  TPD,Other,,,,,
13-06-2019,Efuma Aps,00219-19-22214,Eleaf - 580mAh Tance Battery,Other,,,,,
04-09-2017,Efuma Aps,00219-17-12040,230W G-PRIV 2 Touch Screen TC Box MOD -  Standard,Other,,,,,
15-09-2018,Efuma Aps,00219-18-17520,Eleaf - 3000mAh iJust ECM Battery,Other,,,,,
03-09-2018,Efuma Aps,00219-18-17380,Eleaf - 900mAh iStick Amnis Battery,Other,,,,,
20-02-2018,Efuma Aps,00219-18-14733,SMOK - MAG 225W TC Box MOD - Right Handed Grip,Other,,,,,
13-06-2019,Efuma Aps,00219-19-22221,Eleaf - 1100mAh Tance Max Pod Battery,Other,,,,,
24-07-2018,Efuma Aps,00219-18-16935,Eleaf - Saurobox 220W TC Box MOD,Other,,,,,
30-04-2017,Efuma Aps,00219-17-09648,1600mAh QBOX TC Box MOD,Other,,,,,
14-06-2019,Efuma Aps,00219-19-22164,Eleaf - 520mAh iCare Flask Battery,Other,,,,,
02-04-2019,Efuma Aps,00219-19-21249,Eleaf - iStick Mix 160W Box MOD,Other,,,,,
15-08-2017,Efuma Aps,00219-17-10819,I200 MOD 200w,Other,,,,,
24-09-2019,Efuma Aps,00219-19-23287,Eleaf - 3000mAh iStick T80 Battery Mod,Other,,,,,
07-12-2018,Efuma Aps,00219-18-19893,Eleaf - iStick Pico X 75W TC Box MOD,Other,,,,,
30-04-2017,Efuma Aps,00219-17-10067,GX2/4 TC MOD,Other,,,,,
16-05-2018,Efuma Aps,00219-18-15998,Smoktech  - G-PRIV Baby Touch Screen MOD Luxe Edition,Other,,,,,
28-04-2017,Efuma Aps,00219-17-05855,XCUBE Ultra TC Bluetooth MOD- 220W,Other,,,,,
14-08-2017,Efuma Aps,00219-17-11168,225W ProColor TC Box MOD,Other,,,,,
16-08-2017,Efuma Aps,00219-17-11493,220W OSUB King TC MOD,Other,,,,,
02-11-2017,Efuma Aps,00219-17-13092,S-Priv 230W TC Box Mysterious Skull MOD,Other,,,,,
02-11-2017,Efuma Aps,00219-17-13113,MAG 225W TC Box MOD,Other,,,,,
20-04-2018,Efuma Aps,00219-18-15601,Smoktech  - 3000mAh stick P25 battery ,Other,,,,,
17-05-2017,Efuma Aps,00219-17-04478,R80 TC Express Kit - 4000mAh,Other,,,,,
06-10-2017,Efuma Aps,00219-17-12654,Majesty Carbon Fiber 225W TC Box MOD,Other,,,,,
20-04-2018,Efuma Aps,00219-18-15565,Smoktech  - 2000mah STICK V8 Battery,Other,,,,,
30-04-2017,Efuma Aps,00219-17-09507,G-PRIV 220 Touch Screen Mod,Other,,,,,
18-05-2018,Efuma Aps,00219-18-15978,Smoktech  - 1200mAh Priv M17 Box MOD,Other,,,,,
14-03-2018,Efuma Aps,00219-18-14907,Smoktech - Devilkin 225W TC Box MOD,Other,,,,,
20-04-2018,Efuma Aps,00219-18-15620,Smoktech - 2000mAh Resa Stick Battery,Other,,,,,
24-05-2017,Efuma Aps,00219-17-10389,220W T-Priv TC MOD,Other,,,,,
17-05-2017,Efuma Aps,00219-17-10091,Reuleaux DNA200 TC Express Kit,Other,,,,,
14-08-2017,Efuma Aps,00219-17-11139,300W Reuleaux RX GEN3 TC Box MOD,Other,,,,,
01-11-2017,Efuma Aps,00219-17-12812,Reuleaux RX2 20700 200W TC MOD,Other,,,,,
28-04-2017,Efuma Aps,00219-17-03462,Noisy Cricket 18650 MOD W/O Battery,Other,,,,,
14-01-2018,Efuma Aps,00219-18-14067,Wismec - 8000mah Reuleaux RX2 21700 230W TC MOD,Other,,,,,
28-04-2017,Efuma Aps,00219-17-08263,2100mAh Reuleaux RXmini Single TC MOD,Other,,,,,
13-12-2017,Efuma Aps,00219-17-13709,Wismec - SINUOUS RAVAGE230 200W TC Box MOD,Other,,,,,
01-11-2017,Efuma Aps,00219-17-12824,6000mAh Reuleaux RX2 20700 200W TC MOD with Dual Ampking 20700 Batteries,Other,,,,,
05-05-2017,Efuma Aps,00219-17-07021,Sifu B-Tab Box MOD and DIY Tool,Other,,,,,
03-05-2017,Efuma Aps,00219-17-07024,75W Balrog EX TC Box MOD,Other,,,,,
10-01-2019,Efuma Aps,00219-19-20068,Wismec - SINUOUS V80 TC Box MOD,Other,,,,,
18-07-2019,Efuma Aps,00219-19-22697,Wismec - Reuleaux Tinker 2 200W TC MOD,Other,,,,,
21-08-2018,Efuma Aps,00219-18-17129,Wismec - 2100mAh Active Bluetooth Music TC Box MOD,Other,,,,,
20-11-2018,Efuma Aps,00219-18-19740,Wismec - Reuleaux Tinker 300W TC MOD,Other,,,,,
21-07-2018,Efuma Aps,00219-18-16880,Wismec - 500mAh Motiv 2 Battery,Other,,,,,
15-09-2018,Efuma Aps,00219-18-17556,Wismec - 2300mAh SINUOUS SOLO Battery,Other,,,,,
10-01-2019,Efuma Aps,00219-19-20090,Wismec - SINUOUS V200 200W TC MOD,Other,,,,,
17-10-2018,Efuma Aps,00219-18-18413,SMOK - Mag Grip 100W TC Box MOD,Other,,,,,
20-09-2019,Efuma Aps,00219-19-23250,SMOK - Mag P3 230W Touch Screen TC Box MOD,Other,,,,,
03-06-2019,Efuma Aps,00219-19-22049,SMOK - 700mAh MICARE Battery,Other,,,,,
29-10-2018,Efuma Aps,00219-18-18543,SMOK - R-Kiss Mod,Other,,,,,
05-07-2019,Efuma Aps,00219-19-22571,SMOK - 1200mAh Priv N19 Mod,Other,,,,,
30-03-2019,Efuma Aps,00219-19-18134,SMOK - RHA 220W Mod,Other,,,,,
15-07-2018,Efuma Aps,00219-18-16849,SMOK - E-Priv 230W TC Box MOD,Other,,,,,
04-02-2019,Efuma Aps,00219-19-20692,SMOK - 3000mAh Stick v9 Battery,Other,,,,,
26-06-2019,Efuma Aps,00219-19-22371,SMOK - 2800mAh STICK 80W MOD,Other,,,,,
07-09-2018,Efuma Aps,00219-18-17453,SMOK - 2000mAh stick P22 battery ,Other,,,,,
22-08-2018,Efuma Aps,00219-18-17149,SMOK - Species 230W Touch Screen TC Box MOD,Other,,,,,
17-12-2019,Efuma Aps,00219-19-23760,SMOK - G-PRIV 3 230W Touch Screen TC Box MOD,Other,,,,,
10-11-2017,RITCHY EU s.r.o.,00046-17-00025,Liqua 10ml Shisha Mix 6,Refill container/cartridge containing e-liquid.,,,,,
10-11-2017,RITCHY EU s.r.o.,00046-17-00026,Liqua 10ml Shisha Mix 12,Refill container/cartridge containing e-liquid.,,,,,
25-01-2018,Efuma Aps,00219-17-06728,Council of Vapor - CoV Vengeance Sub-Ohm Tank,Individual part of electronic cigarette capable of containing e-liquid.,00219-17-93006,,,,
08-05-2018,Efuma Aps,00219-18-14750,Council of Vapor - 2ml COV XILO Sub-Ohm Tank,Individual part of electronic cigarette capable of containing e-liquid.,00219-17-91004,,,,
08-05-2018,Efuma Aps,00219-18-14753,Council of Vapor - COV Xilo Coil - 0.4ohm,Individual part of electronic cigarette capable of containing e-liquid.,00219-17-91004,,,,
04-02-2018,Efuma Aps,00219-18-04294,Council of Vapor - 5pcs - CoV Vengeance Replacement Coil - 0.8 ohm,Individual part of electronic cigarette capable of containing e-liquid.,00219-17-93003,,,,
25-01-2018,Efuma Aps,00219-18-11943,Council of Vapor - COV RST Replacement Coil - 0.2 ohm,Individual part of electronic cigarette capable of containing e-liquid.,00219-17-93006,,,,
01-12-2017,Efuma Aps,00219-17-03928,CoV The Royal Hunter,Other,,,,,
25-01-2018,Efuma Aps,00219-18-07794,Council of Vapor - 5pcs - CoV Vengeance Replacement Coil - 0.2 ohm,Individual part of electronic cigarette capable of containing e-liquid.,00219-17-93006,,,,
08-06-2017,Efuma Aps,00219-17-05427,Aspire - 5pcs BVC General Coils - 1.8 Ohm,Individual part of electronic cigarette capable of containing e-liquid.,00219-17-93003,,,,
28-08-2018,Efuma Aps,00219-18-10365,Aspire - 2ml ET-S BVC Clearomizer,Individual part of electronic cigarette capable of containing e-liquid.,00219-17-93003,,,,
03-08-2017,Efuma Aps,00219-17-09809,Aspire - Cleito EXO Atomizer Head - 0.16ohm,Individual part of electronic cigarette capable of containing e-liquid.,00219-17-91006,,,,
09-06-2017,Efuma Aps,00219-17-00393,Aspire - CE5-S BVC Clearomizer,Individual part of electronic cigarette capable of containing e-liquid.,00219-17-93002,,,,
09-06-2017,Efuma Aps,00219-17-05880,Aspire - 5pcs - Atlantis Evo Replacement Coil - 0.5ohm,Individual part of electronic cigarette capable of containing e-liquid.,00219-17-91005,,,,
12-06-2017,Efuma Aps,00219-17-09056,Aspire - 5 pcs -  Nautilus 2 BVC Coil - 0.7 ohm,Individual part of electronic cigarette capable of containing e-liquid.,00219-17-93005,,,,
13-09-2017,Efuma Aps,00219-17-10379,Aspire - 5pcs Breeze Atomizer Head,Individual part of electronic cigarette capable of containing e-liquid.,00219-17-92003,,,,
