indberetningsdato,indberetter_navn,produkt_id,produkt_mrke_produkt_navn,produkt_type,Reference_ID_sam,,,,
13-01-2017,Efuma Aps,00219-16-05670,Sundbygaard - Ananas 6 mg/ml,Refill container/cartridge containing e-liquid.,,,,,
09-11-2018,Efuma Aps,00219-18-18274,Nordik by Vapeson - 2x1.5ml e-pods, Virginia Tobacco - 18 mg/ml,Refill container/cartridge containing e-liquid.,00219-18-18519; 00409-16-20553,,,
14-08-2018,Efuma Aps,00219-18-16929,UWELL - UWELL Crown 3 Replacement Coils - 0.5ohm,Individual part of electronic cigarette capable of containing e-liquid.,00219-17-92002,,,,
14-08-2018,Efuma Aps,00219-18-16928,UWELL - UWELL Crown 3 Replacement Coils - 0.4ohm,Individual part of electronic cigarette capable of containing e-liquid.,00219-17-91004,,,,
08-11-2018,Efuma Aps,00219-18-18212,Nordik by Vapeson - 2x1.5ml e-pods, Extreme - 18 mg/ml,Refill container/cartridge containing e-liquid.,00409-16-20023; 00219-18-18519,,,
20-11-2016,Locotin Aps,00701-16-00057,Locotin - Nikotinbase 70VG-30PG 12,Refill container/cartridge containing e-liquid.,,,,,
20-11-2016,Locotin Aps,00701-16-00057,ecodamp - Nikotinbase 70VG-30PG 12,Refill container/cartridge containing e-liquid.,,,,,
20-11-2016,Locotin Aps,00701-16-00055,Locotin - Nikotinbase 70VG-30PG 6,Refill container/cartridge containing e-liquid.,,,,,
20-11-2016,Locotin Aps,00701-16-00055,ecodamp - Nikotinbase 70VG-30PG 6,Refill container/cartridge containing e-liquid.,,,,,
20-11-2016,Locotin Aps,00701-16-00050,Locotin - Nikotinbase 50VG-50PG 9,Refill container/cartridge containing e-liquid.,,,,,
20-11-2016,Locotin Aps,00701-16-00050,ecodamp - Nikotinbase 50VG-50PG 9,Refill container/cartridge containing e-liquid.,,,,,
20-11-2016,Locotin Aps,00701-16-00056,Locotin - Nikotinbase 70VG-30PG 9,Refill container/cartridge containing e-liquid.,,,,,
20-11-2016,Locotin Aps,00701-16-00056,ecodamp - Nikotinbase 70VG-30PG 9,Refill container/cartridge containing e-liquid.,,,,,
20-11-2016,Locotin Aps,00701-16-00054,Locotin - Nikotinbase 70VG-30PG 3,Refill container/cartridge containing e-liquid.,,,,,
20-11-2016,Locotin Aps,00701-16-00054,ecodamp - Nikotinbase 70VG-30PG 3,Refill container/cartridge containing e-liquid.,,,,,
20-11-2016,Locotin Aps,00701-16-00051,Locotin - Nikotinbase 50VG-50PG 12,Refill container/cartridge containing e-liquid.,,,,,
20-11-2016,Locotin Aps,00701-16-00051,ecodamp - Nikotinbase 50VG-50PG 12,Refill container/cartridge containing e-liquid.,,,,,
20-11-2016,Locotin Aps,00701-16-00060,Locotin - Nikotinbase VG 18,Refill container/cartridge containing e-liquid.,,,,,
20-11-2016,Locotin Aps,00701-16-00060,ecodamp - Nikotinbase VG 18,Refill container/cartridge containing e-liquid.,,,,,
20-11-2016,Locotin Aps,00701-16-00049,Locotin - Nikotinbase 50VG-50PG 6,Refill container/cartridge containing e-liquid.,,,,,
20-11-2016,Locotin Aps,00701-16-00049,ecodamp - Nikotinbase 50VG-50PG 6,Refill container/cartridge containing e-liquid.,,,,,
20-11-2016,Locotin Aps,00701-16-00047,Locotin - Nikotinbase 50VG-50PG 3,Refill container/cartridge containing e-liquid.,,,,,
20-11-2016,Locotin Aps,00701-16-00047,ecodamp - Nikotinbase 50VG-50PG 3,Refill container/cartridge containing e-liquid.,,,,,
20-11-2016,Locotin Aps,00701-16-00058,Locotin - Nikotinbase 70VG-30PG 18,Refill container/cartridge containing e-liquid.,,,,,
20-11-2016,Locotin Aps,00701-16-00058,ecodamp - Nikotinbase 70VG-30PG 18,Refill container/cartridge containing e-liquid.,,,,,
27-10-2016,Decadent Vapours Ltd,00752-16-00246,Decadent Vapours Nicotine Boost 50/50 1.8%,Refill container/cartridge containing e-liquid.,,,,,
24-04-2019,Subohm AB,03485-19-30034,Uwell - Nunchaku tank 2ml,Electronic cigarette – Refillable, device only.,02828-19-80041,,,
25-04-2019,Insano Aps,02828-19-40046,Joyetech - BFL-1 ,Other,02828-19-80050,,,,
02-11-2016,Decadent Vapours Ltd,00752-16-00248,Decadent Vapours Nicotine Boost VG 1.8%,Refill container/cartridge containing e-liquid.,,,,,
26-04-2019,Efuma Aps,00219-19-21300,Aspire - 1.9ml K1 Plus Tank,Individual part of electronic cigarette capable of containing e-liquid.,00219-17-93003,,,,
13-07-2017,CloudOhms,00274-17-00216,Aspire - Speeder 200W Mod,Other,,,,,
13-01-2017,Efuma Aps,00219-16-05711,Sundbygaard - Vingummi Lakrids 12 mg/ml,Refill container/cartridge containing e-liquid.,,,,,
13-01-2017,Efuma Aps,00219-16-05736,Sundbygaard - Hyldeblomst 12 mg/ml,Refill container/cartridge containing e-liquid.,,,,,
05-11-2018,Efuma Aps,00219-18-18236,Nordik by Vapeson - 2x1.5ml e-pods, HS Menthol Sensation - 12 mg/ml,Refill container/cartridge containing e-liquid.,00219-18-18519; 00409-16-20362,,,
02-05-2019,Subohm AB,03485-19-40072,Eleaf - EC2 0.5ohm coil,Other,02828-19-80042,,,,
13-01-2017,Efuma Aps,00219-16-05731,Sundbygaard - Skovbær 12 mg/ml,Refill container/cartridge containing e-liquid.,,,,,
02-05-2019,Subohm AB,03485-19-40071,Eleaf - EC2 0.30ohm coil,Other,02828-19-80042,,,,
02-05-2019,Subohm AB,03485-19-40073,Eleaf - EC-N 0,15ohm coil,Other,02828-19-80042,,,
02-05-2019,Subohm AB,03485-19-40068,Eleaf - HW1-C 0.25ohm coil,Other,02828-19-80042,,,,
02-05-2019,Subohm AB,03485-19-40055,Eleaf - HW-M coil 0.15ohm,Other,02828-19-80041,,,,
02-05-2019,Subohm AB,03485-19-40054,Eleaf - HW-N coil 0.2ohm,Other,02828-19-80041,,,,
03-05-2019,Efuma Aps,00219-19-17635,Aspire Slym - 3x1.8ml e-pods, Sundbygaard Tobak - 12mg/ml,Refill container/cartridge containing e-liquid.,00219-19-17634; 00219-16-05726,,,
03-05-2019,Efuma Aps,00219-19-17638,Aspire Slym  - 3x1.8ml e-pods, Sundbygaard Twist - 12mg/ml,Refill container/cartridge containing e-liquid.,00219-16-05741; 00219-19-17634,,,
03-05-2019,Efuma Aps,00219-19-17634,Aspire Slym  - 3x1.8ml e-pods, Sundbygaard Menthol - 12mg/ml,Refill container/cartridge containing e-liquid.,,,,
03-05-2019,Efuma Aps,00219-19-17626,Aspire Slym  - 3x1.8ml e-pods, Sundbygaard Cigaret - 12mg/ml,Refill container/cartridge containing e-liquid.,00219-16-05681; 00219-19-17634,,,
03-05-2019,Efuma Aps,00219-19-17633,Aspire Slym  - 3x1.8ml e-pods, Sundbygaard Vandpibeæble - 12mg/ml,Refill container/cartridge containing e-liquid.,00219-16-05716; 00219-19-17634,,,
03-05-2019,Efuma Aps,00219-19-17627,Aspire Slym  - 3x1.8ml e-pods, Sundbygaard Granatæble - 12mg/ml,Refill container/cartridge containing e-liquid.,00219-19-17634; 00219-16-05686,,,
03-05-2019,Efuma Aps,00219-19-17629,Aspire Slym - 3x1.8ml e-pods, Sundbygaard Hvid lakrids - 12mg/ml,Refill container/cartridge containing e-liquid.,00219-19-17634; 00219-16-05696,,,
03-05-2019,Efuma Aps,00219-19-17625,Aspire Slym  - 3x1.8ml e-pods, Sundbygaard Blå Fugl - 12mg/ml,Refill container/cartridge containing e-liquid.,00219-19-17634; 00219-16-05676,,,
03-05-2019,Efuma Aps,00219-19-17630,Aspire Slym  - 3x1.8ml e-pods, Sundbygaard Kloak - 12 mg/ml,Refill container/cartridge containing e-liquid.,00219-16-05701; 00219-19-17634,,,
03-05-2019,Efuma Aps,00219-19-17628,Aspire Slym  - 3x1.8ml e-pods, Sundbygaard Hindbærmint - 12 mg/ml,Refill container/cartridge containing e-liquid.,00219-16-05691; 00219-19-17634,,,
03-05-2019,Efuma Aps,00219-19-17624,Aspire Slym - 3x1.8ml e-pods, Sundbygaard Ananas - 12mg/ml,Refill container/cartridge containing e-liquid.,00219-16-05671; 00219-19-17634,,,
03-05-2019,Efuma Aps,00219-19-17632,Aspire Slym  - 3x1.8ml e-pods, Sundbygaard Vingummi Lakrids - 12 mg/ml,Refill container/cartridge containing e-liquid.,00219-19-17634; 00219-16-05711,,,
03-05-2019,Efuma Aps,00219-19-17637,Aspire Slym  - 3x1.8ml e-pods, Sundbygaard Skovbær - 12mg/ml,Refill container/cartridge containing e-liquid.,00219-16-05731; 00219-19-17634,,,
03-05-2019,Efuma Aps,00219-19-17636,Aspire Slym - 3x1.8ml e-pods, Sundbygaard Hyldeblomst - 12mg/ml,Refill container/cartridge containing e-liquid.,00219-16-05736; 00219-19-17634,,,
04-06-2019,Subohm AB,03485-19-40058,Uwell - Nunchaku Coil 0.40ohm,Other,02828-19-80041,,,,
04-06-2019,Subohm AB,03485-19-40057,Uwell - Nunchaku coil 0.25ohm,Other,02828-19-80041,,,,
27-06-2017,Elekcig AB,01238-17-01452,Innokin Cool Fire IV 40W,Electronic cigarette – Rechargeable, device only Any rechargeable which can also be used as a refillable should be reported under the refillable category. ,,,,
07-08-2018,Subohm AB,03485-16-10011,Vaporesso - Drizzle Kit,Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.,,,,,
28-06-2018,Subohm AB,03485-17-10002,Vaporesso - Swag Kit ,Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.,,,,,
13-12-2018,Subohm AB,03485-18-12121,Vaporesso  - Drizzle Tank 1.8ml,Electronic cigarette – Refillable, device only.,03485-16-10011,,,
02-04-2019,Subohm AB,03485-19-30024,Vaporesso - GT2 0.4ohm,Other,03485-17-10002,,,,
26-11-2018,Subohm AB,03485-17-20002,vaporesso - NRG SE Mini Tank,Electronic cigarette – Refillable, device only.,03485-17-10002,,,
12-09-2019,Insano Aps,02828-19-30093,Wismec - Motiv 2 Pod,Electronic cigarette – Refillable, device only.,02828-19-30048,,,
12-09-2019,Insano Aps,02828-19-30071,Eleaf - Elven Pod 1,6 ohm,Electronic cigarette – Refillable, device only.,02828-19-30048,,
21-03-2019,Subohm AB,03485-19-30013,Vaporesso - EUC Mini CCELL 1.3ohm,Other,03485-16-10011,,,,
23-09-2019,Insano Aps,02828-19-40166,Eleaf - EF-M 0,6 ohm coil,Other,02828-19-80042,,,
23-09-2019,Insano Aps,02828-19-80101,Eleaf - iStick T80,Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.,02828-19-30047; 02828-19-80042,,,,
23-09-2019,Insano Aps,02828-19-30097,Joyetech - eGo Air 1,4 ohm Pod,Electronic cigarette – Refillable, device only.,02828-19-80042,,
23-09-2019,Insano Aps,02828-19-50055,Eleaf - iStick T80,Other,,,,,
23-09-2019,Insano Aps,02828-19-80102,Joyetech - eGo Air,Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.,02828-19-80042,,,,
24-09-2019,Insano Aps,02828-19-30096,Eleaf - Pesso Tank,Electronic cigarette – Refillable, device only.,02828-19-30047; 02828-19-80042,,,
01-10-2019,Insano Aps,02828-19-80078,Joyetech - Exceed X,Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.,02828-19-80050; 02828-19-30048,,,,
01-10-2019,Insano Aps,02828-19-30070,Joyetech - Exceed X Tank,Electronic cigarette – Refillable, device only.,02828-19-30048; 02828-19-80050,,,
08-10-2019,Insano Aps,02828-19-40160,Wismec - WS02 0,25 ohm coil,Other,02828-19-30049,,,
09-10-2019,Insano Aps,02828-19-80077,Eleaf - Nowos,Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.,02828-19-30047,,,,
09-10-2019,Insano Aps,02828-19-80074,Wismec - Preva DNA,Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.,02828-19-80050; 02828-19-80041,,,,
09-10-2019,Insano Aps,02828-19-60035,Eleaf - iStick Pico S MOD,Other,,,,,
09-10-2019,Insano Aps,02828-19-80080,Eleaf - Lexicon,Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.,02828-19-80041,,,,
09-10-2019,Insano Aps,02828-19-30077,Wismec - Preva DL 0,25 ohm pod,Electronic cigarette – Refillable, device only.,02828-19-80050,,
09-10-2019,Insano Aps,02828-19-30078,Wismec - Preva MTL 0,5 ohm pod,Electronic cigarette – Refillable, device only.,02828-19-80041,,
09-10-2019,Insano Aps,02828-19-80081,Eleaf - iStick Pico S,Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.,02828-19-30074,,,,
09-10-2019,Insano Aps,02828-19-30074,Eleaf - Ello Vate tank,Electronic cigarette – Refillable, device only.,02828-19-80081; 02828-19-80041,,,
09-10-2019,Insano Aps,02828-19-30076,Eleaf - iCare Flask tank,Electronic cigarette – Refillable, device only.,02828-19-30048,,,
09-10-2019,Insano Aps,02828-19-30067,Eleaf - GS Baby Tank,Electronic cigarette – Refillable, device only.,02828-19-80041,,,
09-10-2019,Insano Aps,02828-19-80082,Eleaf - iStick Pico Baby,Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.,02828-19-80041,,,,
09-10-2019,Insano Aps,02828-19-30080,Joyetech - RunAbout 1,2 ohm Pod,Electronic cigarette – Refillable, device only.,02828-19-30049,,
09-10-2019,Insano Aps,02828-19-80085,Joyetech - RunAbout,Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.,02828-19-30049,,,,
11-10-2019,Insano Aps,02828-19-30072,Eleaf - ELLO TS 2ml Tank,Electronic cigarette – Refillable, device only.,02828-19-30049; 02828-19-80050,,,
17-10-2019,Insano Aps,02828-19-40121,UWELL - Nunchaku 0,14 ohm coil,Other,02828-19-80050,,,
17-10-2019,Insano Aps,02828-19-30079,Joyetech - Cubis Max tank,Electronic cigarette – Refillable, device only.,02828-19-30047,,,
17-10-2019,Insano Aps,02828-19-80084,Joyetech - Espion Tour,Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.,02828-19-30047,,,,
17-10-2019,Insano Aps,02828-19-80086,Joyetech - Ultex T80,Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.,02828-19-30047,,,,
17-10-2019,Insano Aps,02828-19-30082,Joyetech - Teros Pod,Electronic cigarette – Refillable, device only.,02828-19-80041,,,
17-10-2019,Insano Aps,02828-19-40156,Joyetech - NCfilm 0,25 ohm coil,Other,02828-19-30047,,,
21-10-2019,Insano Aps,02828-19-30066,Wismec - Column tank,Electronic cigarette – Refillable, device only.,02828-19-30047,,,
21-10-2019,Insano Aps,02828-19-30085,Wismec - Amor NS Pro tank,Electronic cigarette – Refillable, device only.,02828-19-30048; 02828-19-30049,,,
21-10-2019,Insano Aps,02828-19-40157,Joyetech - BFHN 0,5 ohm coil,Other,02828-19-80041,,,
21-10-2019,Insano Aps,02828-19-80095,Wismec - Sinuous Solo,Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.,02828-19-30049; 02828-19-30047,,,,
21-10-2019,Insano Aps,02828-19-80093,Wismec - CB-80,Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.,02828-19-30048; 02828-19-30049,,,,
21-10-2019,Insano Aps,02828-19-80090,Wismec - Reuleaux Tinker,Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.,02828-19-30047,,,,
15-10-2019,Insano Aps,02828-19-30075,Eleaf - Ello T tank,Electronic cigarette – Refillable, device only.,02828-19-30048; 02828-19-30049,,,
21-10-2019,Insano Aps,02828-19-80089,Joyetech - eGo AiO ECO,Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.,02828-19-80041,,,,
28-10-2019,Subohm AB,03485-19-30140,Vaporesso - EUC Ceramic Coil 0.3 ohm,Other,02828-19-80050,,,,
29-10-2019,Subohm AB,03485-19-30141,Vaporesso - EUC Ceramic Coil 0.5 ohm,Other,02828-19-80050,,,,
30-10-2019,Insano Aps,02828-19-80097,Wismec - CB-60,Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.,02828-19-30049,,,,
30-10-2019,Insano Aps,02828-19-80105,Eleaf - iStick Amnis 2,Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.,02828-19-30049; 02828-19-80042,,,,
30-10-2019,Insano Aps,02828-19-50054,Eleaf - iStick Amnis 2 batteri,Other,,,,,
30-10-2019,Insano Aps,02828-19-30099,Eleaf - GTiO tank,Electronic cigarette – Refillable, device only.,02828-19-30049; 02828-19-80042,,,
30-10-2019,Efuma Aps,00219-19-23306,Joyetech - 1000mAh Exceed X 1.8ml Starter Kit,Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.,00219-17-93004; 00219-17-92004,,,,
30-10-2019,Subohm AB,03485-19-30042,Vaporesso - EUC Ceramic Coil 0.6 ohm,Other,02828-19-80050,,,,
31-10-2019,Subohm AB,03485-19-30043,Vaporesso - EUC traditional clapton coil 0.3ohm ,Other,03485-17-10002,,,,
31-10-2019,Subohm AB,03485-19-30045,Vaporesso - EUC traditional clapton coil 0.5ohm ,Other,03485-17-10002,,,,
04-11-2019,Insano Aps,02828-19-60045,Eleaf - Tessera  MOD,Other,,,,,
04-11-2019,Insano Aps,02828-19-30086,Wismec - Amor NS tank,Electronic cigarette – Refillable, device only.,02828-19-30049,,,
04-11-2019,Insano Aps,02828-19-50022,Wismec - CB-60 batteri,Other,,,,,
30-10-2019,Efuma Aps,00219-19-23213,Wismec - 1050mAh Preva 2ml Pod System DNA Kit,Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.,00219-17-92005; 00219-17-91005,,,,
12-11-2019,SUB VAPE DISTRO AB,04595-19-10002,SUBOHM - KICK PODS,Individual part of electronic cigarette capable of containing e-liquid.,03485-18-00001,,,,
30-07-2019,Elekcig AB,01238-19-01785,Joyetech  - eGo AIO,Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.,00219-16-04333,,,,
10-08-2016,Flavourtec Sp. z o.o.,00042-16-00003,FLAVOURTEC - Exotic 18 mg/ml,Refill container/cartridge containing e-liquid.,,,,,
10-08-2016,Flavourtec Sp. z o.o.,00042-16-00003,SILVERCIG - Exotic 18 mg/ml,Refill container/cartridge containing e-liquid.,,,,,
10-08-2016,Flavourtec Sp. z o.o.,00042-16-00008,FLAVOURTEC - Tobacco and Menthol 18 mg/ml,Refill container/cartridge containing e-liquid.,,,,,
10-08-2016,Flavourtec Sp. z o.o.,00042-16-00008,SILVERCIG - Tobacco & Menthol 18 mg/ml,Refill container/cartridge containing e-liquid.,,,,,
10-08-2016,Flavourtec Sp. z o.o.,00042-16-00006,FLAVOURTEC - RY4 18 mg/ml,Refill container/cartridge containing e-liquid.,,,,,
10-08-2016,Flavourtec Sp. z o.o.,00042-16-00006,SILVERCIG - RY4 Tobak 18 mg/ml,Refill container/cartridge containing e-liquid.,,,,,
10-08-2016,Flavourtec Sp. z o.o.,00042-16-00004,FLAVOURTEC - Liquorice 18 mg/ml,Refill container/cartridge containing e-liquid.,,,,,
10-08-2016,Flavourtec Sp. z o.o.,00042-16-00004,SILVERCIG - Lakrids 18 mg/ml,Refill container/cartridge containing e-liquid.,,,,,
10-08-2016,Flavourtec Sp. z o.o.,00042-16-00001,FLAVOURTEC - Apple 18 mg/ml,Refill container/cartridge containing e-liquid.,,,,,
10-08-2016,Flavourtec Sp. z o.o.,00042-16-00001,SILVERCIG - Æble 18 mg/ml,Refill container/cartridge containing e-liquid.,,,,,
10-08-2016,Flavourtec Sp. z o.o.,00042-16-00007,FLAVOURTEC - Strawberry 18 mg/ml,Refill container/cartridge containing e-liquid.,,,,,
10-08-2016,Flavourtec Sp. z o.o.,00042-16-00007,SILVERCIG - Jordbær 18 mg/ml,Refill container/cartridge containing e-liquid.,,,,,
10-08-2016,Flavourtec Sp. z o.o.,00042-16-00002,FLAVOURTEC - American Red 18 mg/ml,Refill container/cartridge containing e-liquid.,,,,,
10-08-2016,Flavourtec Sp. z o.o.,00042-16-00002,SILVERCIG - Rød Tobak 18 mg/ml,Refill container/cartridge containing e-liquid.,,,,,
10-08-2016,Flavourtec Sp. z o.o.,00042-16-00005,FLAVOURTEC - Red Power 18 mg/ml,Refill container/cartridge containing e-liquid.,,,,,
10-08-2016,Flavourtec Sp. z o.o.,00042-16-00005,SILVERCIG - Power 18 mg/ml,Refill container/cartridge containing e-liquid.,,,,,
21-11-2019,Insano Aps,02828-19-50057,Eleaf - iJust 3 Pro batteri,Other,,,,,
21-11-2019,Insano Aps,02828-19-80108,Eleaf - iJust 3 Pro with Ello POP,Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.,02828-19-30047; 02828-19-80041,,,,
21-11-2019,Insano Aps,02828-19-80107,Eleaf - iJust 3 Pro with Ello Duro,Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.,02828-19-30047; 02828-19-80041,,,,
21-11-2019,Elekcig AB,01238-19-02043,Eleaf iKonn Total Mod,Other,,,,,
22-11-2019,Efuma Aps,00219-19-23472,Eleaf - 1.8ml GTiO Tank,Individual part of electronic cigarette capable of containing e-liquid.,00219-17-93004,,,,
22-11-2019,Insano Aps,02828-19-80106,Wismec - Preva,Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.,02828-19-30047,,,,
